Diám. m,Volum. m3,Carga kg,Super. m2,Pres. bar,Caudal Aéreo -10°C,Caudal Aéreo -5°C,Caudal Aéreo 0°C,Caudal Aéreo 5°C,Caudal Aéreo 10°C,Caudal Enterrado 5°C
"2.2","23.000","9 892","48.4","1.25","33.2","43.6","54.0","64.4","74.7","45.1"
"2.2","23.000","9 892","48.4","1.50","24.9","35.3","45.7","56.1","66.4","39.2"
"2.2","23.000","9 892","48.4","1.75","20.8","31.1","41.5","51.9","62.3","36.3"
"2.2","23.000","9 892","48.4","2.00","14.5","24.9","35.3","45.7","56.1","32.0"
"2.2","26.300","11 311","54.5","1.25","37.4","49.1","60.8","72.5","84.2","50.7"
"2.2","26.300","11 311","54.5","1.50","28.1","39.7","51.4","63.1","74.8","44.2"
"2.2","26.300","11 311","54.5","1.75","23.4","35.1","46.8","58.4","70.1","40.9"
"2.2","26.300","11 311","54.5","2.00","16.4","28.1","39.7","51.4","63.1","36.0"
"2.2","28.000","12 042","57.6","1.25","39.5","51.9","64.2","76.6","88.9","53.6"
"2.2","28.000","12 042","57.6","1.50","29.6","42.0","54.4","66.7","79.1","46.7"
"2.2","28.000","12 042","57.6","1.75","24.7","37.1","49.4","61.8","74.1","43.2"
"2.2","28.000","12 042","57.6","2.00","17.3","29.6","42.0","54.4","66.7","38.0"
"2.2","29.600","12 730","60.7","1.25","41.7","54.7","67.7","80.7","93.7","56.5"
"2.2","29.600","12 730","60.7","1.50","31.2","44.3","57.3","70.3","83.3","49.2"
"2.2","29.600","12 730","60.7","1.75","26.0","39.1","52.1","65.1","78.1","45.6"
"2.2","29.600","12 730","60.7","2.00","18.2","31.2","44.3","57.3","70.3","40.1"
"2.2","33.000","14 193","66.8","1.25","45.8","60.2","74.5","88.8","103.2","62.2"
"2.2","33.000","14 193","66.8","1.50","34.4","48.7","63.0","77.4","91.7","54.2"
"2.2","33.000","14 193","66.8","1.75","28.7","43.0","57.3","71.6","86.0","50.1"
"2.2","33.000","14 193","66.8","2.00","20.1","34.4","48.7","63.0","77.4","44.1"
"2.2","36.200","15 569","73.0","1.25","50.1","65.8","81.4","97.1","112.7","67.9"
"2.2","36.200","15 569","73.0","1.50","37.6","53.2","68.9","84.5","100.2","59.2"
"2.2","36.200","15 569","73.0","1.75","31.3","47.0","62.6","78.3","93.9","54.8"
"2.2","36.200","15 569","73.0","2.00","21.9","37.6","53.2","68.9","84.5","48.2"
"2.2","37.900","16 300","76.1","1.25","52.2","68.5","84.9","101.2","117.5","70.8"
"2.2","37.900","16 300","76.1","1.50","39.2","55.5","71.8","88.1","104.5","61.7"
"2.2","37.900","16 300","76.1","1.75","32.6","49.0","65.3","81.6","97.9","57.1"
"2.2","37.900","16 300","76.1","2.00","22.8","39.2","55.5","71.8","88.1","50.3"
"2.2","39.500","16 988","79.1","1.25","54.3","71.3","88.2","105.2","122.1","73.6"
"2.2","39.500","16 988","79.1","1.50","40.7","57.7","74.6","91.6","108.6","64.1"
"2.2","39.500","16 988","79.1","1.75","33.9","50.9","67.9","84.8","101.8","59.4"
"2.2","39.500","16 988","79.1","2.00","23.8","40.7","57.7","74.6","91.6","52.3"
"2.2","42.900","18 451","85.3","1.25","58.5","76.8","95.1","113.4","131.7","79.4"
"2.2","42.900","18 451","85.3","1.50","43.9","62.2","80.5","98.8","117.1","69.2"
"2.2","42.900","18 451","85.3","1.75","36.6","54.9","73.2","91.5","109.8","64.0"
"2.2","42.900","18 451","85.3","2.00","25.6","43.9","62.2","80.5","98.8","56.3"
"2.2","46.200","19 870","91.4","1.25","62.7","82.3","101.9","121.5","141.1","85.1"
"2.2","46.200","19 870","91.4","1.50","47.0","66.6","86.3","105.9","125.5","74.1"
"2.2","46.200","19 870","91.4","1.75","39.2","58.8","78.4","98.0","117.6","68.6"
"2.2","46.200","19 870","91.4","2.00","27.4","47.0","66.6","86.3","105.9","60.4"
"2.2","47.800","20 558","94.5","1.25","64.9","85.1","105.4","125.7","145.9","83.0"
"2.2","47.800","20 558","94.5","1.50","48.6","68.9","89.2","109.4","129.7","76.6"
"2.2","47.800","20 558","94.5","1.75","40.5","60.8","81.1","101.3","121.6","70.9"
"2.2","47.800","20 558","94.5","2.00","28.4","48.6","68.9","89.2","109.4","62.4"
"2.2","49.500","21 289","97.6","1.25","67.0","87.9","108.8","129.8","150.7","90.8"
"2.2","49.500","21 289","97.6","1.50","50.2","71.2","92.1","113.0","134.0","79.1"
"2.2","49.500","21 289","97.6","1.75","41.9","62.8","83.7","104.7","125.6","73.3"
"2.2","49.500","21 289","97.6","2.00","29.3","50.2","71.2","92.1","113.0","64.5"
