Modelo LP(1) base,Volumen,D (ø),VIA 150,VIA 300,VIB 500,VIC 1000,VIC 1500,VIC 2000
,Capacidad de vaporización (Kg/h),,150,300,500,1000,1500,2000
,Potencia mínima de caldera (KW),,17.5,35,58,117,175,233
LPVI 4000A,"4.000","1.200",X,,,,,
LPVI 4880A,"4.880","1.200",X,X,X,,,
LPVI 6650A,"6.650","1.200",X,X,X,,,
LPVI 8334A,"8.334","1.200",X,X,X,,,
LPVI 10A,"10.000","1.500",X,X,X,X,X,
LPVI 13A,"13.000","1.500",X,X,X,X,X,X
LPVI 16A,"16.000","1.500",X,X,X,X,X,X
LPVI 19A,"19.000","1.500",X,X,X,X,X,X
LPVI 22A,"22.000","1.500",X,X,X,X,X,X
LPVI 20A,"19.900","1.750",X,X,X,X,X,X
LPVI 24A,"24.450","1.750",X,X,X,X,X,X
LPVI 34A,"33.600","1.750",X,X,X,X,X,X
LPVI 33A-22,"32.900","2.200",X,X,X,X,X,X
LPVI 50A-22,"49.500","2.200",X,X,X,X,X,X
LPVI 59A-22,"59.400","2.200",X,X,X,X,X,X
LPVI 50A-24,"50.000","2.450",X,X,X,X,X,X
LPVI 59A-24,"59.200","2.450",X,X,X,X,X,X
