Diám. m,Volum. m3,Carga kg,Super. m2,Pres. bar,Caudal Aéreo -10°C,Caudal Aéreo -5°C,Caudal Aéreo 0°C,Caudal Aéreo 5°C,Caudal Aéreo 10°C,Caudal Enterrado 5°C
"2.2","52.800","22 709","103.7","1.25","71.2","93.4","115.6","137.9","160.1","96.5"
"2.2","52.800","22 709","103.7","1.50","53.4","75.6","97.9","120.1","142.3","84.1"
"2.2","52.800","22 709","103.7","1.75","44.5","66.7","89.0","111.2","133.4","77.8"
"2.2","52.800","22 709","103.7","2.00","31.1","53.4","75.6","97.9","120.1","68.5"
"2.2","56.000","24 085","109.9","1.25","75.4","99.0","122.6","146.1","169.7","102.3"
"2.2","56.000","24 085","109.9","1.50","56.6","80.1","103.7","127.3","150.8","89.1"
"2.2","56.000","24 085","109.9","1.75","47.1","70.7","94.3","117.9","141.4","82.5"
"2.2","56.000","24 085","109.9","2.00","33.0","56.6","80.1","103.7","127.3","72.6"
"2.2","57.700","24 816","112.9","1.25","77.5","101.7","125.9","150.1","174.3","105.1"
"2.2","57.700","24 816","112.9","1.50","58.1","82.3","106.5","130.8","155.0","91.5"
"2.2","57.700","24 816","112.9","1.75","48.4","72.6","96.9","121.41","145.3","84.7"
"2.2","57.700","24 816","112.9","2.00","33.9","58.1","92.3","106.5","130.8","74.6"
"2.2","59.400","25 547","116.0","1.25","79.6","104.5","129.4","154.2","179.1","108.0"
"2.2","59.400","25 547","116.0","1.50","59.7","84.6","109.5","134.3","159.2","94.0"
"2.2","59.400","25 547","116.0","1.75","49.8","74.6","99.5","124.4","149.3","87.1"
"2.2","59.400","25 547","116.0","2.00","34.8","59.7","84.6","109.5","134.3","76.6"
