Modelo Ref.,Capacidad nominal (litros),Peso en vacío aprox. (Kg.),(1)Propano almacenado (Kg.),Superficie total (m2),Descarga mínima de válvula de seguridad (m3/min. aire),D (mm),A (mm),B (mm),G (mm),I (mm),L (mm),N (mm)
LP23A-22,"23000","5400","9660","48.4","256.5","2200","6590","2300","2840","1560","300","75"
LP26A-22,"26300","6050","11046","54.5","282.8","2200","7480","4300","2870","1560","300","75"
LP28A-22,"28000","6350","11760","57.6","295.9","2200","7920","4300","2370","1560","300","75"
LP30A-22,"29650","6700","12453","60.7","308.9","2200","8370","4800","2330","1560","300","75"
LP33A-22,"32900","7350","13818","66.8","334.1","2200","9260","5500","2840","1560","300","75"
LP36A-22,"36200","8000","15204","73.0","359.3","2200","10150","5500","3620","1560","300","75"
LP38A-22,"37900","8350","15918","76.0","371.4","2200","10590","6000","3620","1560","300","75"
LP40A-22,"39600","8650","16632","79.1","383.8","2200","11040","6700","3720","1560","300","75"
LP43A-22,"42900","9300","18018","85.3","408.3","2200","11930","6700","3720","1560","300","75"
LP46A-22,"46200","10000","19404","91.4","432.1","2200","12820","7100","3720","1560","300","75"
LP48A-22,"47800","10300","20076","94.5","444.0","2200","13260","8600","4120","1560","300","75"
LP50A-22,"49500","10650","20790","97.6","455.9","2200","13710","8600","4720","1560","300","75"
LP53A-22,"52800","11350","22176","103.7","479.2","2200","14610","8900","4120","1560","500","75"
LP56A-22,"56100","12000","23562","109.9","502.6","2200","15500","9700","3620","1560","500","75"
LP58A-22,"57700","12350","24234","113.0","514.1","2200","15950","10200","4120","1560","500","75"
LP59A-22,"59400","12650","24948","116.0","525.3","2200","16390","10600","4620","1560","500","75"
LP63A-22,"62700","13300","26334","122.2","548.2","2200","17270","10000","6420","1560","500","75"
LP66A-22,"66000","14000","27720","128.3","570.6","2200","18160","10000","6620","1560","500","75"
LP68A-22,"67700","14300","28434","131.4","581.8","2200","18600","10000","6620","1560","500","75"
LP69A-22,"69300","14650","29106","134.5","593.1","2200","19050","10000","6620","1560","500","75"
LP73A-22,"72600","15300","30492","140.6","615.0","2200","19940","11000","7120","1560","500","75"
LP76A-22,"75900","15950","31878","146.8","637.2","2200","20830","11000","7620","1560","500","75"
LP78A-22,"77600","16250","32592","149.9","648.2","2200","21270","12000","8120","1560","500","75"
LP79A-22,"79200","16600","33264","152.9","658.8","2200","21720","12000","8120","1560","500","75"
LP23A-24,"22600","5500","9492","44.7","240.3","2450","5340","3180","2140","1740","300","120"
LP25A-24,"24900","5950","10458","48.5","257.0","2450","5840","2450","2340","1740","300","120"
LP27A-24,"27200","6400","11424","52.3","273.4","2450","6330","2450","2540","1740","300","120"
LP32A-24,"31800","7250","13356","59.9","305.5","2450","7320","3700","2540","1740","300","120"
LP36A-24,"36300","8150","15246","67.5","337.0","2450","8310","3700","2910","1740","300","120"
LP39A-24,"38600","8550","16212","71.3","352.4","2450","8810","5000","2510","1740","300","120"
LP41A-24,"40900","9000","17178","75.1","367.8","2450","9300","5000","2750","1740","300","120"
LP46A-24,"45500","9900","19110","82.8","398.4","2450","10290","6700","2400","1740","300","120"
LP50A-24,"50000","10750","21000","90.4","428.2","2450","11280","6700","3290","1740","300","120"
LP52A-24,"52300","11250","21966","94.2","442.9","2450","11780","6700","4190","1740","500","120"
LP55A-24,"54600","11700","22932","98.0","457.5","2450","12270","6700","4490","1740","500","120"
LP59A-24,"59200","12550","24864","105.6","486.4","2450","13260","6700","4490","1740","500","120"
LP64A-24,"63700","13450","26754","113.2","514.9","2450","14250","7800","4690","1740","500","120"
LP66A-24,"66000","13900","27720","117.1","529.4","2450","14750","8900","4690","1740","500","120"
LP68A-24,"68300","14300","28686","120.9","543.4","2450","15240","9200","4690","1740","500","120"
LP73A-24,"72800","15200","30576","128.5","571.3","2450","16230","9800","4690","1740","500","120"
LP77A-24,"77400","16050","32508","136.1","598.9","2450","17220","10700","5690","1740","500","120"
LP80A-24,"79700","16500","33474","139.9","612.5","2450","17720","11500","6190","1740","500","120"
LP82A-24,"82000","16950","34440","143.7","626.1","2450","18210","12000","7190","1740","500","120"
LP87A-24,"86500","17800","36330","151.4","653.5","2450","19200","11000","7690","1740","500","120"
LP91A-24,"91100","18700","38262","159.0","680.3","2450","20190","12000","7690","1740","500","120"
LP93A-24,"93400","19150","39228","162.8","693.6","2450","20690","12500","7690","1740","500","120"
LP96A-24,"95700","19550","40194","166.6","706.9","2450","21180","12500","7690","1740","500","120"
LP100A-24,"100200","20450","42084","174.2","733.2","2450","22170","13300","7690","1740","500","120"
LP105A-24,"104800","21300","44016","181.8","759.3","2450","23160","13900","7690","1740","500","120"
LP107A-24,"107100","21750","44982","185.6","772.3","2450","23660","14200","7690","1740","500","120"
LP110A-24,"109400","22200","45948","189.4","785.3","2450","24150","14500","7690","1740","500","120"
LP114A-24,"113900","23050","47838","197.1","811.3","2450","25140","15000","7690","1740","500","120"
